"COU","Country","SOURCE","Source","SERIES","Series","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","ADM","Administrative data","EEM","Employees","1998","1998","NBR","Number","3","Thousands",,,3088,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2000","2000","NBR","Number","3","Thousands",,,3256,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2001","2001","NBR","Number","3","Thousands",,,3314,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2003","2003","NBR","Number","3","Thousands",,,3399,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2005","2005","NBR","Number","3","Thousands",,,3367,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2007","2007","NBR","Number","3","Thousands",,,3416,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2008","2008","NBR","Number","3","Thousands",,,3378,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2012","2012","NBR","Number","3","Thousands",,,3378,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2013","2013","NBR","Number","3","Thousands",,,3454,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2014","2014","NBR","Number","3","Thousands",,,3636,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2015","2015","NBR","Number","3","Thousands",,,3747,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2016","2016","NBR","Number","3","Thousands",,,3881,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2017","2017","NBR","Number","3","Thousands",,,3964,,
"HUN","Hungary","ADM","Administrative data","EEM","Employees","2018","2018","NBR","Number","3","Thousands",,,4004,,
"MEX","Mexico","ADM","Administrative data","TUM","Union members","1998","1998","NBR","Number","3","Thousands",,,3714,,
"MEX","Mexico","ADM","Administrative data","TUM","Union members","2000","2000","NBR","Number","3","Thousands",,,4026,,
"MEX","Mexico","ADM","Administrative data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,4400,,
"MEX","Mexico","ADM","Administrative data","TUM","Union members","2009","2009","NBR","Number","3","Thousands",,,4330,,
"MEX","Mexico","ADM","Administrative data","TUM","Union members","2010","2010","NBR","Number","3","Thousands",,,4230,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2001","2001","NBR","Number","3","Thousands",,,535,"B","Break"
"IRL","Ireland","SVY","Survey data","TUM","Union members","2002","2002","NBR","Number","3","Thousands",,,521,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2003","2003","NBR","Number","3","Thousands",,,556,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2004","2004","NBR","Number","3","Thousands",,,521,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2005","2005","NBR","Number","3","Thousands",,,555,"B","Break"
"IRL","Ireland","SVY","Survey data","TUM","Union members","2006","2006","NBR","Number","3","Thousands",,,566,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2007","2007","NBR","Number","3","Thousands",,,566,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2008","2008","NBR","Number","3","Thousands",,,573,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2009","2009","NBR","Number","3","Thousands",,,535,,
"IRL","Ireland","SVY","Survey data","TUM","Union members","2010","2010","NBR","Number","3","Thousands",,,507,,
