--- When using SR data, please cite us and provide a link and/or a mention.


 
Rank,Player,BPM
1.,Michael Jordan*,11.14
2.,LeBron James,10.18
3.,Nikola Jokić,9.35
4.,Giannis Antetokounmpo,8.37
5.,Kawhi Leonard,8.10
6.,Magic Johnson*,7.62
7.,Tracy McGrady*,7.14
8.,Stephen Curry,7.06
9.,Kevin Durant,6.91
10.,Hakeem Olajuwon*,6.89
11.,Chris Paul,6.87
12.,Larry Bird*,6.86
13.,James Harden,6.40
14.,Charles Barkley*,6.30
15.,David Robinson*,6.15
16.,Baron Davis,6.07
17.,Julius Erving*,6.03
18.,John Stockton*,6.01
19.,Isiah Thomas*,5.97
20.,Dirk Nowitzki,5.93
21.,Tim Duncan*,5.86
22.,Anfernee Hardaway,5.84
23.,Clyde Drexler*,5.61
24.,Jimmy Butler,5.51
25.,Shaquille O'Neal*,5.48
26.,Kobe Bryant*,5.39
27.,Kareem Abdul-Jabbar*,5.33
28.,Dwyane Wade,5.26
29.,Bob Lanier*,5.18
30.,Kevin Garnett*,5.08
31.,Reggie Miller*,5.04
32.,Scottie Pippen*,4.91
33.,Rick Barry*,4.91
34.,Manu Ginóbili*,4.83
35.,Allen Iverson*,4.75
36.,Russell Westbrook,4.73
37.,Gus Williams,4.70
38.,Charlie Ward,4.60
39.,Draymond Green,4.37
40.,Damian Lillard,4.34
41.,Jason Kidd*,4.34
42.,Chauncey Billups,4.31
43.,Karl Malone*,4.05
44.,Pau Gasol,4.05
45.,Kyrie Irving,4.02
46.,Blake Griffin,4.02
47.,Jayson Tatum,3.98
48.,Marc Gasol,3.97
49.,Toni Kukoč*,3.88
50.,Kerry Kittles,3.85
51.,Hersey Hawkins,3.81
52.,Robert Horry,3.74
53.,Ben Wallace*,3.73
54.,Marques Johnson,3.66
55.,Bobby Jones*,3.65
56.,Ron Harper,3.64
57.,Terry Porter,3.63
58.,Al Horford,3.62
59.,Rajon Rondo,3.56
60.,Paul George,3.53
61.,Artis Gilmore*,3.50
62.,Doc Rivers,3.45
63.,Mike Conley,3.44
64.,Kevin McHale*,3.43
65.,Vince Carter,3.40
66.,George Gervin*,3.39
67.,Maurice Cheeks*,3.37
68.,Wes Unseld*,3.31
69.,Cedric Maxwell,3.31
70.,Larry Nance,3.28
71.,Moses Malone*,3.27
72.,Eddie Jones,3.23
73.,James Posey,3.23
74.,Brad Daugherty,3.22
75.,Ray Allen*,3.20
76.,Steve Nash*,3.19
77.,Paul Pierce*,3.19
78.,Kevin Johnson,3.17
79.,Derrick Rose,3.15
80.,Mookie Blaylock,3.12
81.,Jeff Hornacek,3.12
82.,Patrick Ewing*,3.12
83.,Steve Smith,3.09
84.,Bradley Beal,3.09
85.,Jrue Holiday,3.08
86.,Nate McMillan,3.02
87.,Adrian Dantley*,2.91
88.,Bob Dandridge*,2.89
89.,Dikembe Mutombo*,2.88
90.,Bryon Russell,2.88
91.,Dave Cowens*,2.87
92.,James Worthy*,2.86
93.,Tim Hardaway*,2.85
94.,Dwight Howard,2.84
95.,Chris Webber*,2.83
96.,Walter Davis,2.83
97.,George McGinnis*,2.82
98.,Elvin Hayes*,2.82
99.,Deron Williams,2.81
100.,Shawn Kemp,2.80
101.,John Havlicek*,2.79
102.,Alonzo Mourning*,2.78
103.,Mark Jackson,2.74
104.,Josh Smith,2.73
105.,Clint Capela,2.66
106.,John Starks,2.66
107.,Alex English*,2.65
108.,Bam Adebayo,2.65
109.,Mark Price,2.61
110.,Jerome Kersey,2.61
111.,Andre Iguodala,2.60
112.,Dominique Wilkins*,2.59
113.,Paul Pressey,2.57
114.,Rudy Gobert,2.52
115.,Vlade Divac*,2.51
116.,Antonio Daniels,2.48
117.,Rasheed Wallace,2.46
118.,Clifford Ray,2.45
119.,Horace Grant,2.41
