--- When using SR data, please cite us and provide a link and/or a mention.


 
Rank,Player,VORP
1.,LeBron James,142.60
2.,Michael Jordan*,116.05
3.,John Stockton*,106.53
4.,Karl Malone*,98.96
5.,Kevin Garnett*,96.86
6.,Chris Paul,93.68
7.,Tim Duncan*,91.09
8.,Kareem Abdul-Jabbar*,85.72
9.,Dirk Nowitzki,84.82
10.,David Robinson*,81.93
11.,Charles Barkley*,80.48
12.,Kobe Bryant*,80.15
13.,Julius Erving*,80.07
14.,Magic Johnson*,79.97
15.,Larry Bird*,77.24
16.,Kevin Durant,76.44
17.,Shaquille O'Neal*,75.51
18.,Hakeem Olajuwon*,74.22
19.,Jason Kidd*,73.47
20.,James Harden,72.01
21.,Clyde Drexler*,70.20
22.,Reggie Miller*,66.07
23.,Paul Pierce*,65.54
24.,Scottie Pippen*,63.18
25.,Dwyane Wade,62.80
26.,Gary Payton*,62.52
27.,Stephen Curry,60.93
28.,Vince Carter,57.90
29.,Ray Allen*,57.58
30.,Pau Gasol,57.50
31.,Russell Westbrook,55.75
32.,Tracy McGrady*,55.66
33.,Artis Gilmore*,51.63
34.,Dominique Wilkins*,50.62
35.,Patrick Ewing*,50.07
36.,Allen Iverson*,49.64
37.,Steve Nash*,48.23
38.,Shawn Marion,47.61
39.,Manu Ginóbili*,47.56
40.,Moses Malone*,45.14
41.,Nikola Jokić,44.03
42.,Adrian Dantley*,43.76
43.,Damian Lillard,43.74
44.,Grant Hill*,43.65
45.,Chauncey Billups,43.54
46.,Larry Nance,43.49
47.,Terry Porter,43.33
48.,Giannis Antetokounmpo,43.26
49.,Eddie Jones,42.32
50.,Anthony Davis,42.13
51.,Maurice Cheeks*,42.12
52.,Chris Webber*,42.08
53.,Jeff Hornacek,42.06
54.,Kyle Lowry,41.83
55.,Andrei Kirilenko,41.67
56.,Isiah Thomas*,41.59
57.,Chris Mullin*,41.56
58.,Andre Iguodala,41.32
59.,Bobby Jones*,41.02
60.,Robert Parish*,40.68
61.,Kawhi Leonard,40.40
62.,George Gervin*,40.12
63.,Tim Hardaway*,39.58
64.,Bob Lanier*,39.39
65.,Mookie Blaylock,39.22
66.,Dwight Howard,38.97
67.,Jimmy Butler,38.35
68.,Rasheed Wallace,38.32
69.,Alex English*,38.25
70.,Paul George,37.96
71.,Al Horford,37.90
72.,Mark Jackson,37.52
73.,Jason Terry,37.40
74.,Elton Brand,37.31
75.,Kevin Johnson,37.27
76.,Jack Sikma*,37.02
77.,Carmelo Anthony,36.71
78.,Rod Strickland,36.58
79.,Marc Gasol,36.54
80.,Vlade Divac*,36.30
81.,Ben Wallace*,36.15
82.,Derek Harper,35.74
83.,Mike Conley,34.79
84.,Kevin McHale*,34.29
85.,Kyrie Irving,34.18
86.,Kevin Love,34.03
87.,Dan Issel*,33.95
88.,Dikembe Mutombo*,33.86
89.,LaMarcus Aldridge,33.40
90.,Andre Miller,33.35
91.,Sidney Moncrief*,33.14
92.,Rashard Lewis,33.11
93.,Baron Davis,33.07
94.,Horace Grant,33.00
95.,Alvan Adams,32.97
96.,Hersey Hawkins,32.60
97.,Blake Griffin,32.54
