DATAFLOW,REF_AREA: Reference area,MEASURE: Measure,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2000,20.9,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2001,20.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2002,20,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2003,19.700001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2004,19.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2005,19,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2006,18.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2007,18.200001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2008,18,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2009,18.1,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2010,17.799999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2011,17.700001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2012,17.299999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2013,17.1,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2014,16.799999,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2015,16.5,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2016,16.200001,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2017,16,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2018,15.9,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),OECD: OECD,TUD: Trade union density,PT_SAL: Percentage of employees,2019,15.8,E: Estimated value,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2000,16.700001,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2002,15.5,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2005,16.9,,,1: One
OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),MEX: Mexico,TUD: Trade union density,PT_SAL: Percentage of employees,2006,16.299999,,,1: One
