Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1960,0.046005319,1.236204629,0.55292242,,0.097276678,,0.662100869,2.365018799,1.330544469,11.4102304,8.563790981,4.353771572,6.180526961,3.746713169,3.541590992,0.045890282,0.745694751,4.571886014,9.916491816,0.477580813,0.066301423,3.505317492,,0.271778492,57.65172158,1.631259014,,0.648849011,,4.078781577,2.824250763,0.009104448,0.013075956,0.040979524,0.052381368,10.75591124,0.108516633,,0.058487218,0.018310277,1.746424117,1.184424377,0.994546061,0.057513303,0.21547984,,0.36831603,0.12971665,1.368042142,1.916656106,70.57688217,1.547012724,10.32833875,0.152050225,6.493962914,0.481897747,0.183166419,0.315691178,0.387543862,0.593879962,0.223989368,0.086102701,,8.400345491,0.015874028,1.691353394,,0.493637293,3.402095797,5.916460418,,0.469286336,0.264231225,0.049792351,1.637866783,11.08706059,0.219759009,,1.135365171,7.15451839,0.244622729,,0.319230768,0.114711513,0.029720526,1.153371959,0.073866595,0.301868356,0.963269125,4.532369058,6.905212083,0.268256289,0.243587964,1.705334615,1.132574854,3.957499885,3.091073258,2.195381563,0.901826007,2.482018015,0.797140703,11.22141857,0.299070748,,28.91869237,2.211702448,0.038006578,2.842853024,1.427205326,,0.147173156,0.478108169,,3.421970594,36.58054344,0.305704546,2.530787611,0.078319433,0.121143704,0.515060121,,0.02297039,1.093781096,,,0.042695603,0.272020824,1.651703123,,3.019584433,1.353629756,1.37476842,,0.294925625,0.254767588,0.129361674,,,0.008010326,6.414426923,11.03105463,4.860418597,0.299295824,0.008649761,0.075395768,,2.082285847,3.652972625,,,0.26557233,,0.87928461,0.089293308,0.159784537,0.811468253,0.316868728,6.739838325,0.923490756,3.71159041,0.038333054,,2.868500858,7.425169878,0.023803209,,,0.163031024,7.450183001,0.135789201,0.134896821,0.171073724,0.654441326,0.258012086,2.008700859,,0.3110343,0.852557673,7.649858253,2.748454751,0.093258446,0.030578237,5.604875563,0.49485579,1.602716132,0.228538594,0.165100601,1.49103688,0.094440021,6.571362169,3.680979162,0.703769882,1.109532651,1.500212263,0.0821936,0.135397171,,0.041728224,0.178438662,3.039203092,0.412832899,0.611469773,8.817857138,,,0.062028098,6.324587634,0.118660535,11.13837185,15.45874307,1.699524669,5.596998559,,6.99863395,0.229071194,,,0.702031173,1.430351486,1.585966047
1961,0.05354125,1.351800225,0.530992974,,0.078864611,,0.848389855,2.440056895,1.324446006,11.64453985,8.624712979,4.475230561,6.160354513,4.742850193,10.54057917,0.046184122,0.838189211,4.669401857,10.04815289,0.386893763,0.052006049,3.837107824,,0.276348387,58.95509709,1.677126025,,0.660972894,,3.552852937,3.262135913,0.018714578,0.01681078,0.048661548,0.053380827,10.59859038,0.106595584,,0.057503562,0.016761454,1.832435252,0.824374879,1.071485248,0.056619226,0.251355357,,0.355289066,0.149764293,1.423871439,1.669216796,72.83179361,1.499527234,11.15394436,0.150622856,6.870766036,0.496824787,0.180102241,0.301969968,0.351560738,0.615104601,0.20479453,0.084897682,,8.566524638,0.015024796,3.234515164,,0.413944532,3.339851868,6.054837762,,0.726416614,0.327034495,0.058353706,1.660310385,11.29259628,0.195833738,,1.180056132,9.027131902,0.200745124,,0.324366609,0.169402573,0.047018439,1.249775147,0.075217505,0.351215198,1.065802328,4.878098142,6.09209579,0.28439331,0.288463603,1.624026742,1.165055505,4.380295585,3.247439252,2.482751129,1.289006703,2.990528479,1.004436415,11.11079521,0.286864429,0.173415055,33.09727348,2.207781143,0.052332742,2.893551347,1.436497274,,0.140805215,0.797358737,,3.482259692,36.48236995,0.408388819,2.619301246,0.0680397,0.100899373,0.556503208,,0.02203009,0.936743003,,,0.053929877,0.275180584,1.656081924,,3.04487565,1.417563822,1.409999036,,0.296714217,0.348731821,0.120827362,,,0.007885923,6.532498185,11.0033009,4.84933166,0.306184441,0.015764587,0.089217126,,2.265345231,3.692872013,,,0.268557769,,0.944616057,0.098209164,0.185672862,0.834144748,0.32072972,6.904930254,1.017758302,3.135294918,0.038331379,,2.966746577,7.560941842,0.030538074,,,0.201509119,9.6167979,0.133817049,0.163397818,0.170283962,0.845793397,0.2466154,2.089854771,,0.124274216,1.23826164,8.192017959,2.863034102,0.120728854,0.031248401,5.698435544,0.553701415,1.739491465,0.230783396,0.163357094,1.437650073,0.010250299,6.480521517,3.774478729,0.64823537,1.131513507,1.495421984,0.067816737,0.146707415,,0.05733866,0.172437054,5.313280022,0.416602041,0.616082208,8.791265116,,,0.058007891,6.439698882,0.1087477,11.1501582,15.17160761,1.600815028,5.583823837,,6.131142911,0.236978466,,,0.506358615,1.181110887,1.307574024
1962,0.07367855,1.416976089,0.484253713,,0.201003706,,1.795289094,2.519771763,1.342953512,12.60898177,8.868898076,4.731841584,6.246810143,5.991509956,9.18426281,0.049319875,1.118468008,4.855953716,10.55828919,0.714860757,0.054165255,3.371856608,,0.286339819,63.30722677,1.687867146,,0.700393432,0.441552181,4.134009563,3.827445818,0.016989206,0.015194551,0.051053728,0.053604478,11.08765875,0.086737138,,0.047075118,0.026999733,2.071044792,0.64634576,1.109674871,0.05574093,0.218036935,,0.383642157,0.152624099,1.45118538,1.899830372,79.1790688,1.565923651,11.82173044,0.135394576,7.934427767,0.505626088,0.177341809,0.352457261,0.324898346,0.651476368,0.221411087,0.083719867,,8.885642322,0.017033003,3.296317121,,0.547539358,3.732158921,6.342481636,,0.569413396,0.172489143,0.066874738,1.712427659,11.85634008,0.202188593,,1.215667992,7.821227394,0.277500676,,0.309324144,0.178699551,0.063977751,1.118022052,0.075540827,0.324537541,1.132660844,5.019808049,6.555160882,0.306617553,0.248221642,1.622283561,1.175467536,4.639625225,3.503232112,2.896856059,1.262938106,3.067963891,1.036907777,11.22092356,0.303860066,0.253845088,42.20741599,2.239448491,0.059384401,2.997651287,1.480722764,,0.215996856,0.675710095,,3.603971068,35.98563157,0.540695167,2.653572661,0.073918688,0.095290213,0.549476781,,0.025872603,1.046750806,,,0.068510538,0.362049139,1.568126595,,3.129405033,1.949128074,1.414031033,0.310534791,0.234818078,0.257847014,0.13150504,,,0.008468247,7.07774618,6.780504218,4.520549217,0.349492887,0.018380472,0.088774747,,2.584917828,3.863585778,,,0.287989899,,0.989959023,0.094458026,0.195473379,0.935115143,0.368071471,7.128454964,1.039277738,3.386417361,0.040281272,,3.372028672,7.841865569,0.027624693,,,0.198948786,6.624347127,0.132105858,0.158220196,0.17059846,1.432545227,0.239947704,2.128804741,,0.13800178,1.478853141,8.620953802,2.921318224,0.117188,0.036970416,5.742432944,0.64354722,1.9244555,0.247367996,0.169887487,1.614739756,,6.764582563,4.383010861,0.656332929,1.236832978,1.515095287,0.071676033,0.172854927,,0.054525331,0.165894445,8.218080664,0.416882498,0.749302747,8.91980217,,,0.059176755,6.673484273,0.162884985,11.15133935,15.50954645,1.538814856,5.667427255,0.594384143,6.149314909,0.269220839,,,0.7256999,1.105571305,1.222427558
1963,0.07412874,1.162334812,0.452160076,,0.192244119,,1.44563763,2.313989004,1.393066436,11.9779522,9.264897969,5.127550758,6.476192595,5.553548569,6.705400247,0.055074565,0.815670393,5.161723522,11.31388702,0.621860149,0.047548842,3.155683465,,0.309833278,59.11278195,1.842330261,,0.704477726,0.433506862,3.798089254,4.248646578,0.017489883,0.016146846,0.06280658,0.054426074,11.09084642,0.067429509,,0.046211193,0.028772902,2.102113208,0.629105697,1.177405447,0.054857964,0.209051157,,0.404780028,0.155839178,1.60392778,1.709805031,75.11092105,1.704806779,12.3702151,0.139272856,8.678079133,0.655404062,0.23293811,0.343123837,0.36221169,0.735176948,0.372858797,0.096204773,,9.414757664,0.017699067,3.459210307,,0.554368558,4.27161144,6.994905675,,0.759491922,0.141942607,0.075338241,1.804534286,12.59319936,0.235793254,,1.460106972,9.41015324,0.157000536,,0.33073587,0.185667175,0.07482414,0.988716219,0.060661886,0.320556573,1.274157739,5.568730459,7.006081967,0.322637017,0.239471261,1.744262943,1.189441284,4.743283907,3.480406056,3.232698788,1.406309165,3.370014093,1.161724651,11.61253351,0.320247514,0.412956743,44.78126621,2.31962766,0.064468764,3.174266184,1.522836502,,0.296944581,0.909610738,,3.810536204,35.28990716,0.576716418,2.91324437,0.084116509,0.089540143,0.649425613,,0.032319461,1.29271973,,,0.093947112,0.291114627,1.580648299,,3.288073139,1.536095658,1.539828005,0.310271827,0.293369338,0.211025796,0.117732502,,,0.009375047,7.640999463,7.208195099,4.828325968,0.433481341,0.023805953,0.111250263,,2.720698443,4.080948692,,,0.322923229,,0.954857958,0.119889515,0.199284575,0.932642676,0.395350675,7.516220968,1.118936079,99.38104574,0.044655103,,3.644056974,8.318528601,0.027158479,,,0.235377252,7.320679321,0.174130003,0.183872668,0.114184209,1.53626829,0.247080128,2.351083159,0.164633461,0.154293629,1.897796839,8.964649754,3.232981479,0.113730542,0.034936827,5.805788846,0.765876057,1.863411451,0.238876643,0.186426845,1.689134195,,7.248039267,5.1737064,0.716296637,1.275833591,1.567615694,0.072908134,0.185590563,,0.065119711,0.159292805,1.464760708,0.444098037,0.766639728,9.250766552,,,0.057715405,7.069891479,0.175079241,11.2650131,15.97827372,1.637415094,5.874691276,0.471328112,6.150005876,0.255035463,,,0.53552447,1.029701254,1.137352411
1964,0.086169858,1.093082909,0.458930853,,0.200695155,,1.538875076,2.535764783,1.434966373,11.57736008,9.795207666,5.360517116,6.668650202,8.11156487,8.734901879,0.054953805,0.765475576,5.440728015,11.02307657,0.817627027,0.055259835,4.160627645,,0.370847665,55.94752843,2.050419733,,0.698135268,0.84942622,3.482442155,5.248781461,0.021557633,0.01582007,0.053812767,0.059700874,12.27210471,0.130683595,,0.04533206,0.030472154,2.076317918,0.616741376,1.16687818,0.053947672,0.232095813,,0.43854393,0.183289181,1.80630088,1.833662808,72.27294025,1.72817722,12.81882017,0.116777626,9.134269436,0.783320785,0.229265088,0.464747325,0.420102646,0.847697567,0.396209371,0.094482736,,9.893079784,0.016663098,3.316782795,,0.943301143,5.016813403,7.138798496,,0.731726801,0.363753343,0.074291667,1.885838662,12.80349595,0.219451162,,1.568595207,8.645904788,0.233708247,,0.373953079,0.183599845,0.091036569,1.016751719,0.071706667,0.316445509,1.237218038,6.15224834,6.906167806,0.30901288,0.229155589,1.954868103,1.115953943,4.992765177,3.739740302,3.423851206,2.347433033,3.685476075,1.126505844,11.9599111,0.306875198,0.403302146,59.53084765,2.383571454,0.0740008,3.334932361,1.597633165,,0.395027868,0.397631646,,3.996679625,37.55918452,0.662523313,3.254901886,0.085947716,0.083170658,0.799592564,,0.031954565,1.559194964,,,0.12166056,0.418258908,1.715043304,,3.431185328,1.902720672,1.716653281,0.61886665,0.318608267,0.26637526,0.124953313,,5.329454545,0.014002353,8.005088762,12.40926179,5.073376399,0.473867937,0.025052069,0.14810034,,2.899933637,4.375782052,,0.018052611,0.323680801,,0.972830328,0.122336873,0.204465741,1.086143401,0.427956248,7.820647749,1.231240126,92.78345938,0.048433832,,3.75053333,8.760859602,0.011588614,,,0.231864493,9.439556084,0.215354595,0.207921916,0.171182956,1.505364942,0.257659109,2.644805695,0.160529256,0.124880708,2.016797011,9.23328619,3.64509313,0.137970508,0.045173045,6.158046358,0.786484286,2.017343108,0.209346027,0.200200047,1.871720171,0.028739584,7.853547607,4.908958325,0.838657348,1.381133984,1.60868778,0.091118367,0.241903426,,0.079358729,0.153183662,4.197503529,0.617569014,0.869686491,9.520349273,,,0.063344624,7.433104196,0.132246678,11.26825074,16.47032674,1.708080243,6.034067267,0.863539948,5.967549196,0.320486251,,,0.655020377,0.948466554,1.046661216
1965,0.101313952,1.145916013,0.521780712,,0.191220833,,2.471496027,2.638952152,1.476541571,10.3275802,10.63534024,5.22105066,6.864767529,9.392091622,6.548543197,0.055903175,0.871719051,5.718616217,11.15326984,0.794127348,0.057066749,3.64851958,,0.370781631,48.80446683,2.075861796,,0.674621985,0.831404584,3.255259946,5.627153398,0.019824653,0.011904313,0.062288191,0.053902552,12.78514494,0.110570026,,0.053332266,0.032106861,2.059549891,0.65694083,1.194025999,0.070657205,0.207284205,,0.532145713,0.271299561,1.848220803,1.835289608,64.0881997,1.97963392,12.45602185,0.142113795,9.304436966,1.051729687,0.225345183,0.398381211,0.433133039,0.894206898,0.325279726,0.105668431,,10.37293978,0.025765157,3.67398374,,0.742148343,5.537825828,7.192959752,,0.901902866,0.405963445,0.073122604,1.9662264,12.59052575,0.220969998,,2.011595995,9.072279001,0.23243569,,0.405341913,0.179524195,0.101066259,1.652481791,0.071159105,0.320002899,1.376384875,6.021092965,7.256399723,0.333455116,0.245922361,2.152600779,2.303435627,4.796369174,5.125330521,3.663895128,1.701678447,3.925677696,1.211376914,12.33387043,0.259229562,0.236626267,74.73403244,2.445690881,0.075354844,3.497091455,1.582910682,,0.444487187,0.585528464,,4.184161216,36.93016437,0.64901516,3.299983924,0.096508747,0.085732455,0.879666675,,0.035532113,1.472373909,,,0.162460058,0.403711743,1.684508607,,3.578783145,1.767281714,1.750909493,0.309459459,0.298994086,0.244213268,0.116518452,,5.744947735,0.016450847,8.197320389,13.49890351,5.210182571,0.378235554,0.023403563,0.234405607,,3.524368352,4.400607551,,0.041036209,0.330996693,,1.161699221,0.135993732,0.253116393,1.029619956,0.451728352,7.876237582,1.299294819,85.3883449,0.061933952,,4.05772203,9.215074254,0.014733366,,,0.266328841,7.908948195,0.170478074,0.230679636,0.169640101,0.870482602,0.459423559,2.702345681,0.156674934,0.114070547,1.345877747,8.914686416,3.733075411,0.187420988,0.042986054,6.42553671,0.86408962,2.20279798,0.239046091,0.253486364,2.396343503,0.205871085,8.077051536,5.202251955,0.683455494,1.410686682,1.647820518,0.099413465,0.233800952,,0.07719635,0.147817434,5.689394213,0.54130176,0.883125009,9.78146982,,,0.078110641,7.802651389,0.146207153,11.45628002,16.95660257,2.047216275,6.176991918,0.64117164,6.181323547,0.347329525,,,0.695968898,1.09790995,1.181167708
1966,0.107482705,1.309230742,0.648746285,,0.246047003,,5.608856089,2.789747579,1.514917855,9.597851512,10.32505741,5.332878143,7.051598795,7.460065862,3.381635207,0.055074308,1.133136195,5.981941936,11.07592325,0.737176146,0.042346483,4.037344232,,0.406678309,44.45451637,2.02775081,,0.748057391,1.220384146,4.57508666,5.880496141,0.019517297,0.01510821,0.07118704,0.058227022,12.92015344,0.091687868,,0.050075911,0.024990436,2.131751982,0.703964857,1.190287008,0.086628396,0.252819349,,0.604359068,0.275984778,1.822165191,1.870357059,59.14633247,2.12144717,12.37348305,0.134504311,10.44064124,1.133185747,0.221019137,0.417281559,0.447066375,0.837040868,0.396242293,0.090034683,,10.83175541,0.032134781,3.729308405,,0.6765353,6.437035525,7.034912823,,1.249948311,0.702340952,0.080787888,2.041254612,12.38567259,0.182486562,,2.194162255,9.805099722,0.308953887,,0.347007163,0.181859667,0.099555749,1.775414171,0.06975585,0.333633288,1.446484339,6.041401688,7.663982768,0.337861591,0.226793442,2.50162968,3.199118639,5.255754471,5.240558513,4.105885737,1.974987979,4.209494063,1.249243565,12.71333636,0.272853171,0.231610443,66.91949792,2.501309813,0.096138236,3.653557877,1.69560936,,0.476990429,1.456519799,,4.364674186,34.92700477,0.704609843,3.218765801,0.097776584,0.103053685,1.004537087,,0.033806736,1.287382698,,,0.175695433,0.357090415,1.757069684,,3.721369011,1.713128782,1.734699611,0.620386048,0.374110447,0.253440483,0.117193415,,5.55806506,0.017149594,8.348588256,16.11340008,5.249294922,0.451544296,0.033644027,0.251734964,,3.699966591,5.204639297,,0.045657108,0.328136438,,1.222850575,0.148857044,0.230037463,1.108846799,0.505344572,7.978787124,1.334758116,78.56319824,0.066028011,,4.294213859,9.662145047,0.013247036,,,0.299465678,8.534161491,0.2109214,0.196253673,0.166386631,1.277575149,0.453286977,2.659528618,0.153138845,0.119574856,0.350446108,8.794612292,3.682726124,0.181867173,0.044286661,6.259501712,1.013438363,2.38182155,0.233703021,0.267601023,3.211357447,0.502314405,9.286285232,5.321291911,0.884329634,1.489278307,1.681661292,0.11380605,0.288675235,,0.101204659,0.143164146,4.404268711,0.621265449,0.993326172,10.01454301,,,0.088308185,8.163136153,0.159819543,11.31362824,17.62186057,1.98275574,6.289246364,1.006949079,5.599333277,0.492336445,,,0.602321822,0.951583284,1.32666935
1967,0.123584857,1.340075739,0.631382029,,0.154608071,,8.905618687,2.855198866,1.541303497,11.75368185,10.80762756,5.3960629,7.187228394,11.14613162,5.120292967,0.056542472,1.424598831,6.195012573,11.26671495,1.072924431,0.052242765,4.203291269,,0.446151577,53.23346465,2.022232138,,0.749272792,0.397483185,3.908475119,6.604955517,0.019200755,0.014728405,0.062444272,0.075595783,13.80500309,0.073649129,,0.053299104,0.034135794,2.138224417,0.568138854,1.215417709,0.084855278,0.257593055,,0.516460043,0.291923744,1.832066762,1.90437616,71.82015711,2.303875476,12.35260551,0.124538761,10.14671283,0.669239024,0.324793901,0.379844508,0.465122797,0.603980061,0.342021946,0.08740458,,11.20375669,0.040827651,4.462507943,,0.728060125,6.230081314,7.480635167,,1.39189635,1.826034672,0.079204687,2.099073602,12.10338954,0.1855303,,2.28800213,10.09888542,0.385842609,,0.383927556,0.180308817,0.070727079,1.957030262,0.058485715,0.352012979,1.659003633,5.73437436,7.310499947,0.331656369,0.231711847,2.57924588,2.053444776,5.683200435,5.0996778,4.460591605,2.143129695,4.853276117,1.025797389,13.02180181,0.265734822,0.453867911,43.90413242,2.536077214,0.127665284,3.782285591,1.639013355,,0.465690621,9.842155713,,4.511792826,33.95985363,0.737982276,3.197557605,0.138713492,0.085926694,1.008105376,,0.039167929,1.618280105,,,0.18802873,0.634955019,1.897656689,,3.834854928,1.811384506,1.764332015,0.6233943,0.361739767,0.218465003,0.147435949,,7.80468622,0.018778233,8.495943923,15.33136951,5.041965815,0.493405581,0.031804401,0.245014342,,3.962278791,5.100362813,,0.205372062,0.33916001,,1.216602968,0.185937858,0.212811771,1.110585323,0.554699559,8.120349794,1.407726523,77.4448114,0.077859616,,4.645435761,10.04274076,0.011790598,,,0.331327178,9.836241611,0.208808243,0.191127704,0.161949523,4.905920214,0.179301745,2.668105315,0.149813959,0.099008079,1.559125677,8.716368255,3.703899738,0.226871504,0.070364055,6.355671694,1.160787817,2.623859476,0.252632175,0.312508802,3.802412538,0.552252086,8.751969773,5.427426937,0.801852036,1.628304734,1.700454131,0.14171323,0.359699174,,0.106637664,0.185396954,5.005027492,0.650789942,1.03082518,10.16123669,,,0.094302593,8.465005945,5.379280374,10.77867952,18.10600692,1.774049096,6.3373888,1.073227885,6.245446689,0.572984965,,,0.52095726,1.262590367,1.126479535
1968,0.115367794,1.498376645,0.658465161,,0.255909486,,15.3009048,2.966698562,1.543683417,10.86750248,10.96583334,5.685415801,7.215787155,10.26117874,5.496553752,0.062775789,1.853633447,6.30844476,12.38162393,0.883931726,0.05512629,4.369757757,,0.503253421,48.23030303,2.137669054,,0.85328959,1.555178268,3.634506147,7.079056358,0.018879136,0.016573021,0.072394166,0.081444432,14.61403542,0.11371253,,0.104367007,0.035600877,2.307390436,0.598210202,1.271118154,0.08305565,0.350030602,,0.593290052,0.330452587,1.951167835,1.904062448,65.79395762,2.710474475,12.93589749,0.177970913,10.94779193,0.86080221,0.318424102,0.552302634,0.543125293,0.685274965,0.362246538,0.097267988,,11.39811998,0.064016735,4.795811518,,0.792756749,7.244520272,7.682484517,,1.48849941,3.464028148,0.086108435,2.124396268,12.65124159,0.214267816,,2.601817839,12.58254635,0.42484294,,0.402721206,0.182432305,0.090868243,1.938362972,0.058142125,0.477676847,1.663131372,5.937175745,7.980207243,0.353049318,0.25328252,3.045528561,2.126808803,6.138093307,5.087670121,4.714598455,2.124468609,5.502447589,1.003798282,13.14776529,0.268076016,0.667692557,35.31864224,2.532073751,0.065916995,3.852208728,1.6704516,,0.655644932,15.3730077,,4.588284718,36.50315334,0.723335222,3.363730784,0.14629483,0.088808301,1.022567828,,0.034226889,1.98623586,,,0.216411664,0.79778661,1.920218504,,3.888574325,2.054669689,1.906471256,0.626592561,0.367262593,0.317045169,0.116475107,,7.63700497,0.021919041,8.927945357,18.65245566,4.922890632,0.54533402,0.037790722,0.123834761,,4.354818397,5.533466627,,0.237228828,0.378649934,,1.406747397,0.20884134,0.250886788,1.147060149,0.657536834,8.579622245,1.486701117,75.91334857,0.07421933,,4.990017661,10.27123695,0.015581486,0.770557308,,0.362130482,7.623226783,0.248090009,0.21316888,0.209233932,5.397526787,,2.833857756,0.146595183,0.139699788,2.71079782,9.061870648,3.943688245,0.244395382,0.04643933,6.380077502,1.203580673,2.916479734,0.271251928,0.295046391,4.033269119,0.659638982,9.771197894,5.941075837,1.003039155,1.735068023,1.691886347,0.129173132,0.490808743,,0.099800594,0.180721852,4.333911632,0.741878585,1.090480783,10.14403494,,,0.110598315,8.636901953,6.780243894,10.98821048,18.59480439,1.758125166,6.281975025,0.772104669,6.025742522,0.572895294,,,1.948770198,1.167561543,1.314601815
1969,0.08671392,1.544350424,0.79628473,,0.41897549,,19.06842664,3.272428304,1.567282804,14.14041481,11.30811645,5.968222355,7.34929307,10.59860698,6.170556631,0.059121004,2.017460164,6.509495667,12.86419683,1.136750488,0.070692376,3.825599381,,0.576899984,61.6201558,2.191358307,,0.905284713,1.904167966,3.940947652,7.842887475,0.021871598,0.021605347,0.195444692,0.089806552,14.55387416,0.138088929,,0.104261754,0.045180216,2.402528917,0.716726016,1.303632763,0.081304782,0.378803257,0.521194879,0.637375849,0.376016489,2.015065106,2.013653085,84.86914061,2.754931836,13.73653327,0.187472018,12.1124873,0.562236885,0.260920342,0.605842615,0.608304116,0.574711401,0.33313675,0.14357695,,11.75013996,0.060258563,5.498887336,,0.847901926,8.236585132,8.198713385,,1.508745333,2.47808368,0.109298345,2.181708888,13.44330494,0.200956326,,2.95387988,9.098637553,0.503073446,,0.416813649,0.179505154,0.083947888,1.964369129,0.068127613,0.445722246,2.038743893,6.036871869,6.256745918,0.351613324,0.298409417,2.990742779,2.357844745,6.330968942,5.333346306,5.067594613,2.307163242,6.311752037,1.087615313,13.46485532,0.287686944,0.218554897,38.79087696,2.565770025,0.121647788,3.975998931,1.930194677,,0.920661984,17.38031469,,4.727871111,39.0506181,0.699794886,3.434751961,0.132733597,0.084906942,0.866205729,,0.027505318,2.035460373,,,0.246283344,0.703097131,2.026361488,,3.994540486,2.158887277,1.992520844,0.629066873,0.371673157,0.361571084,0.12476774,,10.35190708,0.033956631,9.008326483,15.32375517,5.138829866,0.552675485,0.043422368,0.221137098,,4.573722306,5.770342761,,0.334653395,0.357490801,,1.389183321,0.225976528,0.215596174,1.177381864,0.656254179,9.057406979,1.677328899,71.04506612,0.097739773,,5.492523877,10.64431933,0.01610288,,,0.606215146,6.137353434,0.327449841,0.20859961,0.202876483,6.298811278,0.118596298,2.916802424,0.143326553,0.410390039,3.537528115,9.55758976,4.068020685,0.236577885,0.047590765,6.442100069,1.345736989,2.877858681,0.353263308,0.384914827,4.145040998,0.701380112,10.7933404,6.222196201,1.178130551,1.836385081,1.706553136,0.136100727,0.405841392,,0.118835898,0.132630283,4.159735906,0.778177967,1.137932439,10.26214847,,,0.128279103,8.929536776,100.6152487,11.33657852,19.35899699,1.999752419,6.318651746,0.530118158,6.135308194,0.639466183,,,0.768506378,1.057435361,1.346218416
