GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC65,HC01_MOE_VC65,HC02_EST_VC65,HC02_MOE_VC65,HC03_EST_VC65,HC03_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC03_EST_VC66,HC03_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC03_EST_VC67,HC03_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC03_EST_VC68,HC03_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69,HC03_EST_VC69,HC03_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC02_EST_VC70,HC02_MOE_VC70,HC03_EST_VC70,HC03_MOE_VC70
Id,Id2,Geography,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Public transportation (excluding taxicab),Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Walked,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Walked,Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Bicycle,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Bicycle,"Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means","Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Taxicab, motorcycle, or other means",Total; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home,Male; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Male; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home,Female; Estimate; MEANS OF TRANSPORTATION TO WORK - Worked at home,Female; Margin of Error; MEANS OF TRANSPORTATION TO WORK - Worked at home,Total; Estimate; PLACE OF WORK - Worked outside state of residence,Total; Margin of Error; PLACE OF WORK - Worked outside state of residence,Male; Estimate; PLACE OF WORK - Worked outside state of residence,Male; Margin of Error; PLACE OF WORK - Worked outside state of residence,Female; Estimate; PLACE OF WORK - Worked outside state of residence,Female; Margin of Error; PLACE OF WORK - Worked outside state of residence,Total; Estimate; Living in a place,Total; Margin of Error; Living in a place,Male; Estimate; Living in a place,Male; Margin of Error; Living in a place,Female; Estimate; Living in a place,Female; Margin of Error; Living in a place,Total; Estimate; Not living in a place,Total; Margin of Error; Not living in a place,Male; Estimate; Not living in a place,Male; Margin of Error; Not living in a place,Female; Estimate; Not living in a place,Female; Margin of Error; Not living in a place,Total; Estimate; Living in 12 selected states,Total; Margin of Error; Living in 12 selected states,Male; Estimate; Living in 12 selected states,Male; Margin of Error; Living in 12 selected states,Female; Estimate; Living in 12 selected states,Female; Margin of Error; Living in 12 selected states,Total; Estimate; Not living in 12 selected states,Total; Margin of Error; Not living in 12 selected states,Male; Estimate; Not living in 12 selected states,Male; Margin of Error; Not living in 12 selected states,Female; Estimate; Not living in 12 selected states,Female; Margin of Error; Not living in 12 selected states,Total; Estimate; Workers 16 years and over who did not work at home,Total; Margin of Error; Workers 16 years and over who did not work at home,Male; Estimate; Workers 16 years and over who did not work at home,Male; Margin of Error; Workers 16 years and over who did not work at home,Female; Estimate; Workers 16 years and over who did not work at home,Female; Margin of Error; Workers 16 years and over who did not work at home,Total; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - Less than 10 minutes,Male; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - Less than 10 minutes,Female; Estimate; TRAVEL TIME TO WORK - Less than 10 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - Less than 10 minutes,Total; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 10 to 14 minutes,Male; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 10 to 14 minutes,Female; Estimate; TRAVEL TIME TO WORK - 10 to 14 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 10 to 14 minutes,Total; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 15 to 19 minutes,Male; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 15 to 19 minutes,Female; Estimate; TRAVEL TIME TO WORK - 15 to 19 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 15 to 19 minutes,Total; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 20 to 24 minutes,Male; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 20 to 24 minutes,Female; Estimate; TRAVEL TIME TO WORK - 20 to 24 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 20 to 24 minutes,Total; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 25 to 29 minutes,Male; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 25 to 29 minutes,Female; Estimate; TRAVEL TIME TO WORK - 25 to 29 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 25 to 29 minutes,Total; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 30 to 34 minutes,Male; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 30 to 34 minutes,Female; Estimate; TRAVEL TIME TO WORK - 30 to 34 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 30 to 34 minutes,Total; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 35 to 44 minutes,Male; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 35 to 44 minutes,Female; Estimate; TRAVEL TIME TO WORK - 35 to 44 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 35 to 44 minutes,Total; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 45 to 59 minutes,Male; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 45 to 59 minutes,Female; Estimate; TRAVEL TIME TO WORK - 45 to 59 minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 45 to 59 minutes,Total; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Total; Margin of Error; TRAVEL TIME TO WORK - 60 or more minutes,Male; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Male; Margin of Error; TRAVEL TIME TO WORK - 60 or more minutes,Female; Estimate; TRAVEL TIME TO WORK - 60 or more minutes,Female; Margin of Error; TRAVEL TIME TO WORK - 60 or more minutes,Total; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Male; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Male; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Female; Estimate; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Female; Margin of Error; TRAVEL TIME TO WORK - Mean travel time to work (minutes),Total; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Margin of Error; VEHICLES AVAILABLE - Workers 16 years and over in households,Male; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Male; Margin of Error; VEHICLES AVAILABLE - Workers 16 years and over in households,Female; Estimate; VEHICLES AVAILABLE - Workers 16 years and over in households,Female; Margin of Error; VEHICLES AVAILABLE - Workers 16 years and over in households,Total; Estimate; PERCENT ALLOCATED - Means of transportation to work,Total; Margin of Error; PERCENT ALLOCATED - Means of transportation to work,Male; Estimate; PERCENT ALLOCATED - Means of transportation to work,Male; Margin of Error; PERCENT ALLOCATED - Means of transportation to work,Female; Estimate; PERCENT ALLOCATED - Means of transportation to work,Female; Margin of Error; PERCENT ALLOCATED - Means of transportation to work,Total; Estimate; PERCENT ALLOCATED - Private vehicle occupancy,Total; Margin of Error; PERCENT ALLOCATED - Private vehicle occupancy,Male; Estimate; PERCENT ALLOCATED - Private vehicle occupancy,Male; Margin of Error; PERCENT ALLOCATED - Private vehicle occupancy,Female; Estimate; PERCENT ALLOCATED - Private vehicle occupancy,Female; Margin of Error; PERCENT ALLOCATED - Private vehicle occupancy,Total; Estimate; PERCENT ALLOCATED - Place of work,Total; Margin of Error; PERCENT ALLOCATED - Place of work,Male; Estimate; PERCENT ALLOCATED - Place of work,Male; Margin of Error; PERCENT ALLOCATED - Place of work,Female; Estimate; PERCENT ALLOCATED - Place of work,Female; Margin of Error; PERCENT ALLOCATED - Place of work,Total; Estimate; PERCENT ALLOCATED - Time leaving home to go to work,Total; Margin of Error; PERCENT ALLOCATED - Time leaving home to go to work,Male; Estimate; PERCENT ALLOCATED - Time leaving home to go to work,Male; Margin of Error; PERCENT ALLOCATED - Time leaving home to go to work,Female; Estimate; PERCENT ALLOCATED - Time leaving home to go to work,Female; Margin of Error; PERCENT ALLOCATED - Time leaving home to go to work,Total; Estimate; PERCENT ALLOCATED - Travel time to work,Total; Margin of Error; PERCENT ALLOCATED - Travel time to work,Male; Estimate; PERCENT ALLOCATED - Travel time to work,Male; Margin of Error; PERCENT ALLOCATED - Travel time to work,Female; Estimate; PERCENT ALLOCATED - Travel time to work,Female; Margin of Error; PERCENT ALLOCATED - Travel time to work,Total; Estimate; PERCENT ALLOCATED - Vehicles available,Total; Margin of Error; PERCENT ALLOCATED - Vehicles available,Male; Estimate; PERCENT ALLOCATED - Vehicles available,Male; Margin of Error; PERCENT ALLOCATED - Vehicles available,Female; Estimate; PERCENT ALLOCATED - Vehicles available,Female; Margin of Error; PERCENT ALLOCATED - Vehicles available
0400000US01,01,Alabama,0.4,0.1,0.3,0.1,0.4,0.1,1.2,0.2,1.1,0.2,1.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,1.0,0.2,0.7,0.2,3.4,0.2,3.2,0.3,3.6,0.3,4.3,0.2,5.2,0.4,3.4,0.3,67.2,0.6,65.3,0.8,69.3,0.8,32.8,0.6,34.7,0.8,30.7,0.8,N,N,N,N,N,N,N,N,N,N,N,N,1972747,17874,1034536,11070,938211,11985,12.8,0.5,11.8,0.5,14.0,0.7,13.9,0.4,13.0,0.5,14.8,0.7,16.7,0.5,16.1,0.6,17.4,0.7,15.7,0.5,15.1,0.6,16.4,0.7,6.8,0.3,6.8,0.5,6.9,0.5,14.4,0.5,15.0,0.6,13.7,0.7,5.9,0.3,6.2,0.4,5.6,0.4,7.4,0.3,8.3,0.5,6.5,0.5,6.4,0.3,7.8,0.4,4.8,0.4,24.6,0.3,26.3,0.3,22.8,0.4,2030749,18124,1065183,11387,965566,11894,9.4,(X),(X),(X),(X),(X),10.9,(X),(X),(X),(X),(X),12.8,(X),(X),(X),(X),(X),19.7,(X),(X),(X),(X),(X),14.9,(X),(X),(X),(X),(X),2.2,(X),(X),(X),(X),(X)
0400000US02,02,Alaska,1.7,0.4,1.8,0.7,1.5,0.5,7.4,0.7,7.8,1.0,6.8,0.9,0.8,0.2,1.1,0.4,0.4,0.2,4.5,0.5,5.4,0.7,3.5,0.6,4.6,0.6,3.7,0.8,5.6,0.7,0.6,0.2,0.7,0.3,0.4,0.2,96.5,0.5,96.0,0.8,97.1,0.5,3.5,0.5,4.0,0.8,2.9,0.5,N,N,N,N,N,N,N,N,N,N,N,N,335298,6491,186500,4932,148798,3505,25.8,1.2,26.1,1.7,25.3,1.6,19.5,1.4,18.1,1.5,21.2,2.0,17.5,1.2,16.4,1.4,18.8,1.8,14.3,1.0,14.2,1.3,14.3,1.5,4.6,0.7,4.4,1.0,4.8,0.8,7.6,0.8,8.1,1.1,6.9,1.1,2.4,0.5,2.8,0.7,2.0,0.6,3.3,0.5,3.4,0.6,3.2,0.8,5.1,0.6,6.4,0.9,3.4,0.7,19.6,0.6,21.1,0.8,17.6,0.7,334570,5940,180955,4725,153615,3394,8.9,(X),(X),(X),(X),(X),10.1,(X),(X),(X),(X),(X),11.9,(X),(X),(X),(X),(X),18.1,(X),(X),(X),(X),(X),12.2,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
0400000US04,04,Arizona,1.8,0.2,1.7,0.2,1.9,0.2,2.0,0.1,1.9,0.2,2.1,0.2,0.8,0.1,1.1,0.1,0.5,0.1,1.6,0.1,2.0,0.2,1.1,0.1,6.3,0.2,5.6,0.3,7.1,0.3,1.6,0.1,1.9,0.2,1.2,0.2,93.7,0.3,93.8,0.3,93.6,0.4,6.3,0.3,6.2,0.3,6.4,0.4,N,N,N,N,N,N,N,N,N,N,N,N,2892235,16831,1568952,12101,1323283,14878,11.9,0.4,10.9,0.4,13.1,0.5,13.0,0.4,12.1,0.5,14.0,0.5,15.1,0.3,14.9,0.5,15.3,0.5,15.0,0.4,15.1,0.5,14.9,0.6,7.7,0.3,7.7,0.4,7.8,0.4,15.2,0.4,16.0,0.6,14.3,0.5,7.4,0.2,7.8,0.4,7.0,0.3,7.9,0.3,7.9,0.3,8.0,0.4,6.7,0.3,7.6,0.3,5.7,0.3,25.6,0.2,26.6,0.3,24.4,0.2,3064179,17430,1649123,12012,1415056,15885,13.3,(X),(X),(X),(X),(X),14.9,(X),(X),(X),(X),(X),17.6,(X),(X),(X),(X),(X),25.6,(X),(X),(X),(X),(X),19.5,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,0.3,0.1,0.2,0.1,0.4,0.2,1.8,0.2,1.9,0.3,1.7,0.3,0.2,0.1,0.3,0.1,0.1,0.1,0.8,0.1,1.1,0.2,0.5,0.2,3.7,0.3,3.5,0.4,3.9,0.4,3.6,0.3,3.9,0.4,3.1,0.4,70.0,0.8,68.9,0.9,71.1,0.9,30.0,0.8,31.1,0.9,28.9,0.9,N,N,N,N,N,N,N,N,N,N,N,N,1234510,13089,644648,9304,589862,8733,17.9,0.7,17.1,0.9,18.8,1.0,17.4,0.7,17.0,1.0,17.8,0.9,18.2,0.6,18.4,1.0,17.9,0.8,14.1,0.5,13.3,0.7,14.9,0.8,5.4,0.3,5.2,0.5,5.5,0.5,11.3,0.5,11.5,0.7,11.1,0.8,5.3,0.3,5.5,0.5,5.1,0.4,5.8,0.3,5.7,0.4,5.9,0.5,4.8,0.3,6.4,0.5,3.0,0.3,21.6,0.3,22.8,0.5,20.2,0.3,1273115,12970,663962,9692,609153,8923,8.9,(X),(X),(X),(X),(X),10.2,(X),(X),(X),(X),(X),11.5,(X),(X),(X),(X),(X),18.5,(X),(X),(X),(X),(X),13.3,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
0400000US06,06,California,5.0,0.1,4.7,0.1,5.4,0.1,2.6,0.1,2.5,0.1,2.7,0.1,0.9,0.1,1.2,0.1,0.5,0.1,1.6,0.1,1.8,0.1,1.4,0.1,6.0,0.1,5.4,0.1,6.6,0.1,0.5,0.1,0.6,0.1,0.3,0.1,95.2,0.1,95.0,0.1,95.5,0.1,4.8,0.1,5.0,0.1,4.5,0.1,N,N,N,N,N,N,N,N,N,N,N,N,17227742,47859,9450703,29069,7777039,32431,9.1,0.1,8.3,0.2,10.1,0.2,12.1,0.1,11.1,0.2,13.3,0.2,14.4,0.1,13.9,0.2,15.1,0.2,14.1,0.2,13.7,0.2,14.6,0.2,6.1,0.1,6.1,0.2,6.1,0.1,15.2,0.2,15.7,0.2,14.5,0.3,7.1,0.1,7.4,0.2,6.8,0.1,9.1,0.1,9.5,0.2,8.7,0.2,12.7,0.1,14.3,0.2,10.8,0.2,29.8,0.1,31.3,0.1,27.9,0.1,18157494,48131,9900634,31067,8256860,31789,11.4,(X),(X),(X),(X),(X),12.9,(X),(X),(X),(X),(X),15.8,(X),(X),(X),(X),(X),22.3,(X),(X),(X),(X),(X),17.0,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
0400000US08,08,Colorado,3.2,0.2,3.2,0.3,3.3,0.2,2.7,0.2,2.8,0.2,2.5,0.3,1.1,0.1,1.4,0.2,0.7,0.1,1.1,0.1,1.4,0.2,0.8,0.1,8.5,0.3,7.8,0.4,9.2,0.4,1.2,0.1,1.5,0.2,0.8,0.2,86.6,0.3,86.4,0.4,86.8,0.4,13.4,0.3,13.6,0.4,13.2,0.4,N,N,N,N,N,N,N,N,N,N,N,N,2642875,17113,1439655,11300,1203220,11009,11.9,0.3,10.9,0.5,13.0,0.4,13.6,0.4,12.7,0.5,14.6,0.6,15.3,0.4,14.3,0.5,16.5,0.6,15.1,0.4,15.0,0.5,15.3,0.6,6.7,0.3,6.6,0.3,6.8,0.4,14.5,0.5,15.2,0.6,13.7,0.6,7.2,0.3,7.6,0.4,6.8,0.4,8.2,0.3,9.0,0.4,7.3,0.3,7.5,0.3,8.6,0.4,6.1,0.3,25.9,0.2,27.3,0.3,24.2,0.3,2861054,16670,1544845,10559,1316209,11020,12.0,(X),(X),(X),(X),(X),13.3,(X),(X),(X),(X),(X),15.2,(X),(X),(X),(X),(X),22.5,(X),(X),(X),(X),(X),16.8,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,4.7,0.3,4.8,0.4,4.6,0.4,2.8,0.2,2.6,0.3,2.9,0.3,0.3,0.1,0.4,0.1,0.2,0.1,1.0,0.2,1.0,0.2,0.9,0.2,5.1,0.2,5.1,0.4,5.2,0.3,7.3,0.3,9.1,0.5,5.4,0.4,59.9,0.6,59.1,0.8,60.8,0.7,40.1,0.6,40.9,0.8,39.2,0.7,100.0,0.1,100.0,0.1,100.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,1686826,14264,867097,9189,819729,11715,11.7,0.5,10.5,0.7,12.9,0.6,14.5,0.4,13.8,0.6,15.3,0.7,15.6,0.5,14.7,0.6,16.7,0.7,16.2,0.5,15.8,0.7,16.7,0.8,6.8,0.3,6.4,0.4,7.1,0.4,12.7,0.5,13.0,0.6,12.4,0.6,6.5,0.4,6.7,0.5,6.4,0.5,6.8,0.3,7.4,0.5,6.2,0.5,9.1,0.3,11.7,0.6,6.4,0.5,26.4,0.3,28.7,0.5,24.1,0.4,1753589,14507,902487,9191,851102,11217,9.0,(X),(X),(X),(X),(X),10.2,(X),(X),(X),(X),(X),12.6,(X),(X),(X),(X),(X),19.8,(X),(X),(X),(X),(X),13.3,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,2.2,0.4,2.1,0.5,2.4,0.5,2.2,0.4,2.3,0.5,2.1,0.5,0.4,0.2,0.4,0.2,0.3,0.2,0.9,0.3,1.2,0.5,0.5,0.3,5.2,0.6,4.9,0.8,5.4,0.7,14.3,0.9,17.4,1.3,11.1,1.2,41.5,1.5,40.5,1.7,42.6,2.0,58.5,1.5,59.5,1.7,57.4,2.0,N,N,N,N,N,N,N,N,N,N,N,N,408553,7000,211336,4026,197217,4786,9.2,0.9,10.1,1.1,8.3,1.2,13.9,1.0,12.9,1.3,15.0,1.4,16.1,0.9,14.7,1.2,17.6,1.4,17.3,1.1,16.6,1.5,18.1,1.4,7.5,0.9,7.4,1.2,7.6,1.1,14.1,1.0,14.1,1.4,14.1,1.6,7.1,0.6,7.5,1.0,6.6,1.0,6.5,0.6,6.6,1.0,6.4,1.0,8.2,0.7,10.0,1.1,6.2,0.9,26.5,0.6,27.7,0.9,25.2,0.7,427178,6753,220694,3868,206484,4662,7.7,(X),(X),(X),(X),(X),9.0,(X),(X),(X),(X),(X),11.4,(X),(X),(X),(X),(X),18.2,(X),(X),(X),(X),(X),11.6,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,32.7,1.3,31.5,2.0,33.8,1.9,12.7,1.0,12.3,1.4,13.0,1.2,5.0,0.7,6.6,1.0,3.4,0.7,2.7,0.6,3.2,0.9,2.3,0.5,7.4,0.8,6.6,0.9,8.1,1.3,23.9,1.1,25.2,1.5,22.6,1.6,100.0,0.1,100.0,0.1,100.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,N,N,N,N,N,N,N,N,N,N,N,N,347713,6569,170783,3813,176930,5367,4.8,0.6,5.2,0.8,4.4,0.9,7.7,0.8,8.3,1.3,7.2,1.0,12.4,1.2,12.7,1.5,12.1,1.6,14.2,1.0,14.4,1.5,14.0,1.6,7.5,0.7,7.3,1.0,7.7,1.0,19.2,1.2,19.1,2.0,19.3,1.6,12.7,0.9,13.4,1.5,12.1,1.3,11.9,1.0,11.3,1.4,12.5,1.2,9.5,0.9,8.4,1.3,10.7,1.3,30.8,0.6,30.0,0.9,31.7,0.8,364831,5986,178313,3906,186518,4967,14.5,(X),(X),(X),(X),(X),17.3,(X),(X),(X),(X),(X),20.8,(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),20.1,(X),(X),(X),(X),(X),2.0,(X),(X),(X),(X),(X)
