"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","HPI_RPI","Price to rent ratio","2015-Q1","Q1-2015","IDX","Index","0","Units",,,95.4919163087128,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2015-Q2","Q2-2015","IDX","Index","0","Units",,,99.7279668408032,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2015-Q3","Q3-2015","IDX","Index","0","Units",,,101.985752734649,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2015-Q4","Q4-2015","IDX","Index","0","Units",,,102.794364115835,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,105.175100157366,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,106.47628133365,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,108.288212800884,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,111.142318601679,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,108.169283888795,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,110.055653063419,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,111.35647551424,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,113.641101859061,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,115.563702269961,,
"HUN","Hungary","HPI_RPI","Price to rent ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,116.276797103817,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2015-Q1","Q1-2015","1","RATIOS","0","Units",,,126.659711954694,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2015-Q2","Q2-2015","1","RATIOS","0","Units",,,126.649974459928,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2015-Q3","Q3-2015","1","RATIOS","0","Units",,,127.890782956325,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2015-Q4","Q4-2015","1","RATIOS","0","Units",,,130.050328900479,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q1","Q1-2016","1","RATIOS","0","Units",,,135.763241698195,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q2","Q2-2016","1","RATIOS","0","Units",,,137.854709316828,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q3","Q3-2016","1","RATIOS","0","Units",,,140.708726690693,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2016-Q4","Q4-2016","1","RATIOS","0","Units",,,143.320453480139,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q1","Q1-2017","1","RATIOS","0","Units",,,148.071517038288,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q2","Q2-2017","1","RATIOS","0","Units",,,151.271597882177,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q3","Q3-2017","1","RATIOS","0","Units",,,152.875803074498,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2017-Q4","Q4-2017","1","RATIOS","0","Units",,,150.735683487945,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q1","Q1-2018","1","RATIOS","0","Units",,,152.906460609877,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q2","Q2-2018","1","RATIOS","0","Units",,,152.663730100962,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2018-Q3","Q3-2018","1","RATIOS","0","Units",,,151.578524155339,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2015-Q1","Q1-2015","IDX","Index","0","Units",,,98.5376616602842,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2015-Q2","Q2-2015","IDX","Index","0","Units",,,99.5623363921917,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.999711479624,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2015-Q4","Q4-2015","IDX","Index","0","Units",,,100.9002904679,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,103.312240214607,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,103.336069918801,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,103.193664314685,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,102.457423449131,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,101.915558164718,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,104.103048882327,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,103.804438160652,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,105.623430939785,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,106.56199157069,,
"MEX","Mexico","RHP","Real house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,109.613237457467,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2015-Q1","Q1-2015","IDX","Index","0","Units",,,98.8103332281908,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2015-Q2","Q2-2015","IDX","Index","0","Units",,,99.7160929436762,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2015-Q3","Q3-2015","IDX","Index","0","Units",,,101.035777211759,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2015-Q4","Q4-2015","IDX","Index","0","Units",,,100.437796616374,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,100.66573412361,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,102.804801253584,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,105.677477869471,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,108.701890513763,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,109.143662019615,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,109.820192473987,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,109.883477509717,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,111.564270297594,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,113.905675321432,,
"LTU","Lithuania","RHP","Real house price indices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,115.31677707507,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q1","Q1-2015","IDX","Index","0","Units",,,100.567406311414,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q2","Q2-2015","IDX","Index","0","Units",,,100.160500040963,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q3","Q3-2015","IDX","Index","0","Units",,,99.7502769853357,,
"FRA","France","HPI_YDH","Price to income ratio","2015-Q4","Q4-2015","IDX","Index","0","Units",,,99.5218166622878,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,99.6549692961674,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q2","Q2-2016","IDX","Index","0","Units",,,99.6140132645539,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q3","Q3-2016","IDX","Index","0","Units",,,99.5408965069132,,
"FRA","France","HPI_YDH","Price to income ratio","2016-Q4","Q4-2016","IDX","Index","0","Units",,,99.7021123507971,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q1","Q1-2017","IDX","Index","0","Units",,,100.147808081882,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q2","Q2-2017","IDX","Index","0","Units",,,100.289776605595,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q3","Q3-2017","IDX","Index","0","Units",,,100.632684189352,,
"FRA","France","HPI_YDH","Price to income ratio","2017-Q4","Q4-2017","IDX","Index","0","Units",,,100.413463324416,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q1","Q1-2018","IDX","Index","0","Units",,,101.518275926372,,
"FRA","France","HPI_YDH","Price to income ratio","2018-Q2","Q2-2018","IDX","Index","0","Units",,,100.993229772545,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2015-Q1","Q1-2015","IDX","Index","0","Units",,,98.9814859065308,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2015-Q2","Q2-2015","IDX","Index","0","Units",,,99.6796536268017,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.391046482324,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2015-Q4","Q4-2015","IDX","Index","0","Units",,,100.947813984344,,
"OECD","OECD - Total","HPI_RPI","Price to rent ratio","2016-Q1","Q1-2016","IDX","Index","0","Units",,,101.75934223291,,
