RegionName,MHVsqft_2018_12m,ZRIsqft_2018_12m,Homelessness_rate_per_10K,Unsheltered_Pct,2016_Med_Income,Med_RentP1000Sqft_to_IncMon,Med_HVIP1000Sqft_to_IncMon
Alabama,71.42,0.65,8,0.3,46257,0.17,18.53
Alaska,185.42,1.25,25,0.16,76440,0.2,29.11
Arizona,141.42,0.85,13,0.35,53558,0.19,31.69
Arkansas,75.5,0.63,8,0.48,44334,0.17,20.44
California,345.67,1.62,34,0.68,67739,0.29,61.24
Colorado,231.83,1.21,20,0.35,65685,0.22,42.35
Connecticut,151.83,1.17,10,0.12,73433,0.19,24.81
Delaware,133.92,0.94,10,0.06,61757,0.18,26.02
District of Columbia,498.42,2.25,110,0.12,75506,0.36,79.21
Florida,138.33,1.08,16,0.47,50860,0.25,32.64
Georgia,92.83,0.74,10,0.35,53559,0.17,20.8
Hawaii,494.5,1.94,51,0.53,74511,0.31,79.64
Idaho,139.17,0.79,12,0.31,51807,0.18,32.24
Illinois,128.75,1.12,8,0.21,60960,0.22,25.34
Indiana,86,0.73,8,0.11,52314,0.17,19.73
Iowa,112.58,0.88,9,0.04,56247,0.19,24.02
Kansas,96.58,0.77,8,0.15,54935,0.17,21.1
Kentucky,96.92,0.79,9,0.18,46659,0.2,24.93
Louisiana,91.83,0.75,7,0.3,45146,0.2,24.41
Maryland,179.58,1.2,12,0.24,78945,0.18,27.3
Massachusetts,241.17,1.38,26,0.06,75297,0.22,38.43
Michigan,112.42,0.91,9,0.11,52492,0.21,25.7
Minnesota,172.58,1.2,14,0.14,65599,0.22,31.57
Mississippi,71.75,0.67,5,0.49,41754,0.19,20.62
Missouri,105.67,0.84,10,0.19,51746,0.2,24.5
Montana,172.92,0.97,15,0.36,50027,0.23,41.48
Nebraska,116.92,0.92,13,0.05,56927,0.19,24.65
Nevada,155.5,0.86,27,0.58,55180,0.19,33.82
New Hampshire,155.08,1.13,11,0.12,70936,0.19,26.23
New Jersey,183.42,1.24,10,0.17,76126,0.2,28.91
New Mexico,124.25,0.68,12,0.32,46748,0.18,31.89
New York,144.83,1.18,45,0.05,62909,0.23,27.63
North Carolina,105.5,0.75,9,0.27,50584,0.18,25.03
North Dakota,181.25,1.05,14,0.3,60656,0.21,35.86
Ohio,90.25,0.79,9,0.13,52334,0.18,20.69
Oklahoma,78,0.68,11,0.27,49176,0.17,19.03
Oregon,200.25,1.11,34,0.57,57532,0.23,41.77
Pennsylvania,116.08,0.9,11,0.13,56907,0.19,24.48
South Carolina,100.75,0.8,8,0.38,49501,0.19,24.42
South Dakota,156,1,11,0.18,54467,0.22,34.37
Tennessee,98.83,0.75,13,0.33,48547,0.18,24.43
Texas,102.58,0.86,9,0.36,56565,0.18,21.76
Utah,209.42,1.06,9,0.1,65977,0.19,38.09
Virginia,147.08,0.95,7,0.17,68114,0.17,25.91
Washington,227.08,1.13,29,0.41,67106,0.2,40.61
West Virginia,68.17,0.68,7,0.14,43385,0.19,18.85
Wisconsin,126.83,0.9,9,0.07,56811,0.19,26.79
Wyoming,167.08,0.89,15,0.42,59882,0.18,33.48
